episode,reward,std,min,max
3,-7.659939370118775,1.4115202227282444,-9.891538222504856,-5.3653076618525954
4,-7.967171873686925,0.8964688983964898,-9.18774682668197,-6.4063830969355315
5,-6.296520281907359,1.6105166068596557,-9.682453956594351,-4.2497012957513105
6,-8.00485196387708,1.437757325079043,-10.767823796431848,-6.048558344402403
7,-6.848309787437347,1.5721064177336999,-10.256154538592936,-3.84178453617335
8,-7.196721644933163,1.5362947438408086,-10.883360615532848,-5.932293360753508
9,-7.912265698312085,2.12913855064147,-11.45901844661961,-5.448006936886793
10,-8.047780413666281,1.8341959400710872,-10.676718952851381,-5.307951951829791
11,-7.376974803630153,1.5943850911914756,-9.527707120677302,-4.667554530186614
12,-6.756070607881031,1.8284824061732998,-9.580327784248906,-3.8390711055279994
13,-7.538101472144481,1.5891841614133522,-10.378127323145936,-5.632261844378462
14,-7.266547964033421,1.1184634934512423,-9.142546336602413,-5.693740349068837
15,-7.259088706608004,1.2382551977555405,-9.239030092580709,-5.786511983689928
16,-8.139387747907081,2.4909309245820053,-13.216762833028948,-4.534443853959998
17,-7.590696240295621,1.525022745992097,-9.685276958449736,-4.833533481695412
18,-7.898052590681391,1.3278484085937718,-9.79370876636757,-5.795275042881954
19,-7.045488861192515,1.9851604681302781,-9.346685012908729,-3.116988322384668
20,-8.55258434431533,1.4860130600515635,-11.130953519371685,-6.831644556565903
21,-7.930261496411141,1.419847735738566,-10.123574012306435,-5.105030758272514
22,-7.965960737217969,1.6738149484784535,-11.317766553215598,-5.48849989577784
23,-7.656961186312546,2.6930483872227713,-11.921303471614518,-2.8582222439421097
24,-8.15251956818624,1.5976400876468257,-12.215837272174257,-6.359493428443872
25,-7.131477542516462,1.7063821022060472,-9.782416581461419,-4.728549009824622
26,-8.007296072389105,1.718611110218853,-11.34677444376507,-5.9881197276805045
27,-7.516575518428487,1.1292335557246471,-9.828135977523285,-5.640150982121407
28,-7.4587871864150515,1.6972368135907314,-10.53490587740809,-4.781805349896911
29,-7.216152179212419,2.1672495104963843,-10.615325720305766,-4.0628994273439005
30,-6.633959156413693,2.0049117585727925,-10.225098231996283,-4.5100976855194865
31,-6.75993792042699,1.4739499687085944,-9.037115497930508,-5.566183412261356
32,-8.273785729270987,1.5769041132871218,-10.870561954979703,-6.17194004137653
33,-5.815185329405595,0.6637998306922723,-7.268494472990856,-5.03582753771783
34,-7.658633911117216,1.2521828128254036,-9.342933576756266,-5.192295937538965
35,-7.283307479264883,1.7680183721793057,-9.593018160511264,-3.9323046512617377
36,-7.8410627564683635,1.7315442145639466,-11.074496632637093,-5.210949804019661
37,-6.843588303174973,1.6260736791950083,-9.490910223204185,-4.159234877190113
38,-6.729359452831687,2.0842189164389495,-10.471785308886101,-3.7968868084457714
39,-8.703083440616465,1.8656155041525617,-12.99350780606491,-6.0552279376073574
40,-7.300208310586695,1.45640952637497,-9.921673283571838,-5.757213922078898
41,-6.563129286699763,1.5140118964347142,-8.740377676687862,-3.82880131751693
42,-7.183830680425297,0.967085311153476,-8.656276586904186,-5.1078384310833655
43,-7.1315380458643105,1.5122442345428662,-9.50742578508735,-5.703019348861151
44,-6.776656230517716,1.7743657781733153,-9.245133598180415,-4.154100379676448
