episode,reward,std,min,max
3,-7.839243872439225,1.4675894929011926,-10.421519765923165,-5.986225870773932
4,-6.7373698913087905,1.4681951622666387,-8.147352887380727,-3.656637350692187
5,-6.387598592977861,1.4223652269399025,-8.68270140315499,-3.6231506955529302
6,-6.937910396265866,2.3339648124695485,-12.01557157531267,-4.3596280231521485
7,-7.415512872827412,1.2157452255563854,-10.292601006814003,-6.330006216404825
8,-7.560595309080931,1.3462143205397927,-9.179660238388458,-5.231383703760089
9,-7.784275410534427,1.9525300620592703,-12.96931503640312,-6.03892545971739
10,-7.381951749342429,1.4572308359150772,-9.239434611183329,-4.600435128620493
11,-7.732003103563748,1.6326340065187765,-10.263744774624868,-5.1486449560388685
12,-8.281662123199041,1.0495834986476364,-9.677677199655754,-6.501749580113785
13,-8.470015630730357,1.59085574941825,-11.064717770043913,-6.297926688985994
14,-8.221850536588502,2.0864925868831605,-12.1633815638294,-5.471056822107551
15,-9.019128011806433,0.8604813518852267,-10.338120538597131,-7.63256158381443
16,-7.638450517216394,1.329608587207928,-9.441941519208154,-6.229395806606068
17,-7.630433155777778,1.9340987833573877,-10.59091762038852,-4.857017907789571
18,-7.815591105245194,1.8169194916764275,-11.037648647666526,-5.566183412261356
19,-8.127638837453999,1.855702020360621,-10.572868445157688,-4.158106328676275
20,-7.136527190075512,2.225190963261631,-10.450791555703914,-4.223760792177069
21,-7.277134896707191,1.8182384234391997,-10.073764131699676,-3.8419240697539268
22,-6.290729473098389,1.5466625374661565,-8.925867540897976,-4.28165855012203
23,-8.41437904834594,1.591871900014438,-10.945220667490172,-6.494338892271928
24,-7.146436468410629,1.3756251743937729,-9.292825920951394,-5.319331278831771
25,-8.861511776887012,2.005076536456165,-12.315396168463145,-5.041268475348332
26,-8.417006448534348,1.797233334148512,-11.207435395973322,-5.029202035372811
27,-7.0937780523938585,1.8026999104949903,-10.251075346820636,-3.9350091686453124
28,-7.769655455816446,2.365230664334528,-11.029231812406149,-3.821449848501893
29,-7.746699568783171,1.6754539969779012,-10.744233919075501,-4.906424666612926
30,-6.797343713995725,1.6817071833978512,-9.242476825791334,-4.418154884168434
31,-7.5026200853495295,1.5348481311903501,-10.135649307180913,-5.684703324088729
32,-6.796772895634611,1.368935855484067,-9.141433816923339,-4.6372330907329475
33,-7.3396001088825695,1.4983648869850668,-10.196389941806583,-5.48849989577784
34,-6.9252754128891585,1.6573600280956335,-9.136996793933427,-3.490890689860197
35,-7.447470043334471,1.179397788918264,-9.200133279990268,-5.1078384310833655
36,-7.338863915174618,1.827453924780129,-10.821883564912852,-4.749630738775673
37,-7.340965341621809,1.565274135059133,-9.873016252762742,-4.622575097370671
38,-7.473970758173969,1.0038781391449472,-9.431723901161162,-6.23901109952428
39,-7.160771166795934,1.4119700431620046,-10.08432934738361,-5.199159535551533
40,-7.444246364921296,1.581240280840122,-9.650476562090589,-5.727162407554487
41,-7.144639602702236,1.6181491867378757,-9.962199011539408,-5.469009892404856
42,-7.703306814962167,1.8263102038033223,-10.52793701186556,-4.554185191767756
43,-6.680072819577734,1.6170145696949514,-9.450111866893256,-4.749630738775673
44,-6.924884354289499,1.184088160441776,-8.81772754208462,-4.817694780628589
45,-7.775189678022185,1.7520107863267413,-10.047418204941941,-4.340339579774978
46,-7.826609736248102,1.973239449206964,-11.038755088487182,-5.56590582875766
47,-7.318361317875883,1.650306955105631,-9.871934474869825,-5.374254104478408
48,-7.885152853158813,1.283829151997005,-9.996915081697223,-5.380223769893367
49,-7.18454665002727,1.717364885971289,-9.83478438835845,-3.6825542508890448
50,-7.607729898491947,2.1901578527077046,-10.425382303491022,-4.090072660900714
51,-7.913474389015131,2.1905440331620984,-11.784466526243078,-4.20327154626769
52,-6.469425231771105,1.7906728048632026,-8.880961893534096,-3.5074335901589535
53,-6.991952067703897,1.5971398829223047,-9.354046086372986,-4.1995528512014
54,-7.593366407847627,1.8402414669019989,-10.904254848890716,-5.570827069278466
55,-8.37019696505104,1.3867169263751802,-11.234435448688188,-6.270163662615215
56,-7.886980357960091,2.0172476270664093,-11.655456705466463,-5.807859303561571
57,-7.50767366222779,1.2938881875305035,-10.552661251216824,-5.578575348400713
58,-7.159098379293956,1.225584205616535,-8.482365261316271,-4.4165880505946395
59,-7.7274381459295585,1.5888953308767009,-11.132859182502283,-5.425400544112096
60,-6.435415205910404,0.6829605524136708,-7.423802775832996,-5.3741628988514565
61,-6.69386180611175,1.9187168794562635,-11.012226219574938,-4.805170141690065
62,-7.0004731548266275,1.1018166879132532,-9.434992870177776,-5.752942828209129
63,-6.692988641027016,1.4254552544479078,-8.803114258292748,-4.9889909013445575
64,-6.158293471535105,2.226877192570028,-10.774225188146529,-2.54428777423646
65,-7.445945273804256,1.5520744347112643,-10.577076535904009,-4.910356308211951
66,-7.779394306341631,1.7930298558897557,-11.281275257084205,-4.610831759781207
67,-6.393620933668329,1.3145605082215621,-8.428470776065245,-4.2020518085757885
68,-7.272692974189143,1.953515591142542,-10.5791639475836,-4.2255013357108435
69,-7.108984137798506,1.234504484019035,-9.293248171413978,-5.252021068690143
70,-7.339960981262355,1.8853725196684012,-10.821277991086276,-5.3653076618525954
71,-7.489922771895387,1.3370964832377599,-9.880813703667409,-5.566183412261356
72,-7.593579869283415,2.020449969324747,-11.486911511581617,-5.152374428540704
73,-6.9390581378109175,1.9401876463179588,-9.333673262634228,-3.158709903602568
74,-5.9721256901427635,2.2756861162657627,-11.121838334578364,-3.8839733763824515
75,-7.323971864261781,1.3047172448707363,-9.217891203228888,-5.069367727680504
76,-7.526745493490587,1.2835308106351533,-8.89555083112715,-5.190060654924632
77,-6.219091885445488,1.6973218092128286,-9.968295021307696,-4.510926269404215
78,-6.577617974691492,1.1735103146103916,-8.566106642954185,-4.988497590263234
79,-7.293188869579632,1.941291937747764,-11.494563317646525,-5.055590135699761
80,-7.218546594471768,1.4189419627977264,-10.037087543910218,-5.360743158028801
81,-6.154335411424077,2.206225989271829,-8.259047150663292,-1.4933590680641267
82,-6.532135319149559,1.8431418546318956,-9.447783709763804,-3.2740607497069663
83,-5.699768291433083,2.9165175638640988,-9.392274410523637,0.15664625806831256
84,-7.97690981444312,1.093469549387765,-9.35567892125585,-6.345171471096641
85,-6.660854643456938,1.315873294243233,-9.16326565255628,-4.606043331172554
86,-7.54555221635764,1.7648874845272886,-10.790207352727748,-5.023110901105037
87,-6.061211818194182,1.2464608924302278,-7.806090799171862,-4.2729622660837965
88,-7.39913565807043,2.3131118351592685,-10.263768064574151,-3.725732111711968
89,-7.350359076537103,1.516682596219716,-10.657852320515193,-5.3653076618525954
90,-6.61915784335843,1.3618554181377716,-9.24014397432722,-4.895126252170226
91,-6.5732554704024535,1.5752357660267122,-9.65501334149447,-4.164517973002587
92,-8.01508009199392,1.783599562427286,-10.523459305134779,-5.626061487312974
