episode,reward,std,min,max
3,-8.094539268276588,1.3308206994791367,-10.034329647363979,-5.786511983689928
4,-7.230518440124358,1.8981679455960037,-10.11329823550199,-4.15926195620664
5,-7.970645634621134,1.9806508868133434,-10.52631139006406,-5.080259850260343
6,-7.600922186391149,1.8817412818206085,-10.27287047109052,-4.447474789678364
7,-8.559308752451763,2.10910494998477,-11.296888899835512,-4.288424739480253
8,-7.758373509884637,1.5353521302491582,-9.634779894646574,-4.450252925991915
9,-8.43162741611532,0.8164689835860134,-10.089876394065291,-7.378573317646525
10,-7.053554734616249,1.2676797400580555,-9.00893473052529,-5.052888434798916
11,-8.00820564422956,1.5243228988617594,-10.276432196515655,-6.222181140122641
12,-8.452610925149411,1.7757451650418414,-12.609856950524872,-6.463283489604446
13,-7.211856025570145,1.4240643759322198,-9.448594054227694,-5.332736407589218
14,-7.822112959056942,1.3861498790580695,-9.573676015772486,-5.783693065440337
15,-6.901954063859949,1.26482950990996,-8.882705035372812,-5.318676079833166
16,-8.206245950910503,1.764183982668879,-9.98254997398647,-5.0348051575892185
17,-6.8775896499211076,2.017008069778715,-10.566753919075499,-4.0540153543446475
18,-7.463631216582561,1.5074203726693074,-10.651426376054138,-5.60093726585408
19,-7.403416917374846,1.9666256800501791,-11.884432850015116,-5.223773720232891
20,-8.004616087913373,2.335592382396549,-11.592703815844315,-5.048152820928183
21,-8.282506379545435,1.741321713647325,-10.47770370088436,-5.318221794263319
22,-6.272341335534373,1.5869058182692908,-9.71609629717367,-4.513677084148633
23,-7.605073266685887,1.609993903735131,-9.788969156756242,-5.167092020203572
24,-7.69557729146508,1.45908151381514,-9.496288008638361,-5.53267518450939
25,-7.593318915050247,1.4195938155690118,-9.624936703358964,-5.6970950418808375
26,-8.229148024776823,1.3424473319116723,-9.969254325510224,-5.760775210603097
27,-6.98098333800245,1.6014617168751424,-10.27993517586097,-5.147963757802981
28,-7.178908865190289,1.2347016082106672,-9.343924712182764,-5.566633481695411
29,-7.041286684709723,1.96670905089211,-10.814681857943782,-4.440274539683377
30,-7.058826830730747,1.6579567661742454,-9.579966893833529,-4.42517018012435
31,-8.08975412983219,1.0795631656760432,-9.660807522826577,-6.5497310184280915
32,-7.45463051504218,2.1182564550175402,-10.814508976200905,-3.729842739456577
33,-7.020818146449817,1.2902309234717253,-8.943009762270886,-5.2548130850127075
34,-7.291552832511455,1.2822920686170767,-8.859247340574647,-5.1078384310833655
35,-7.485525622900101,1.8351595162874255,-10.018874175482397,-5.271454669482322
36,-6.683645823448167,1.8561632665735242,-9.289577363078763,-3.463829746251341
37,-8.127776882284895,2.1647716451398487,-11.00938046709885,-5.1078384310833655
38,-8.167317343678423,1.7194628979242332,-11.573174394823734,-5.646135649513505
39,-7.047295977599124,1.2465065037723726,-9.053465843069311,-5.132835237120566
40,-7.9773348160607,2.067433488237951,-12.361564491939909,-5.64868863265788
41,-8.320381741064109,1.8838306850709092,-10.622385747990595,-5.566183412261356
42,-7.483759707042371,2.070951555977976,-10.998413967541792,-5.095072797986299
43,-6.958637129269553,0.8346086821146752,-8.682077776475598,-5.8687943491911385
44,-6.585265228058392,2.2014948630960656,-12.086543130685328,-4.4120536252092375
45,-7.566317478843496,1.7020513092662577,-10.105843223809348,-4.842713310513166
46,-6.961069508091811,2.235373322613778,-10.181114066975042,-2.7192479101135865
47,-8.270246999004708,2.207076540817186,-11.601330968904136,-4.122331407237997
48,-6.662810180356177,1.5366528446484857,-9.00679602007039,-3.9139673510713258
49,-7.155276426595179,1.9147007492991728,-10.405614626471184,-4.059855215253992
50,-7.873067013125352,1.327481254228165,-9.519970742351703,-5.2451181938168805
51,-7.899906720123677,1.102654779764878,-9.402149396729055,-5.740651442398847
52,-7.321821772608518,1.763446912165241,-11.025001289456874,-4.48121667308575
53,-7.750511271303833,2.4957733300456173,-11.29962320618376,-4.91667962308577
54,-7.109371727299629,1.5577084236872094,-10.205013060714354,-4.724728289124136
55,-7.439228883104969,1.5944055744850272,-10.638603328631664,-5.5001577061175615
56,-7.623268561968658,1.9322215562061713,-10.00864868019466,-3.8037848711863953
57,-7.5142035743989,2.219907885045049,-11.018524068490105,-3.5577757220918667
58,-6.941823211815108,1.8793731858339873,-10.510217539551041,-3.6643080286049217
59,-6.896468290422928,2.132834054874999,-9.261036220531533,-2.0411305856921373
60,-8.072663529595497,2.030266429474037,-11.67588835562399,-4.976082360840067
61,-7.016479341171751,3.1040001335546052,-12.93281877201344,-2.8704679196331995
62,-7.0736583188935285,1.6421696179753598,-10.351669612414465,-5.515210719490906
63,-8.280120192213687,1.9172558165481781,-11.796541567604176,-5.667446796569232
64,-7.126337624093705,1.9755849781713846,-10.620715104225017,-4.396310013809871
65,-6.428899535105652,1.8182410398373523,-11.001339637776109,-4.834442499666956
66,-7.175130303941762,2.220174724431666,-12.77494424929407,-4.479884683579783
67,-7.149721035393641,1.4307457563274772,-8.997079231552732,-5.085334597898157
68,-6.294515063221789,1.376500850781905,-8.2778143375117,-4.528817085883363
69,-6.8882988870548685,1.7744587869336397,-11.13441390116116,-5.100131180006821
70,-6.671354829293906,2.7820631385171173,-10.922655939383713,-1.399393918727937
71,-7.038966749477323,1.563408259016466,-9.445735487721116,-4.605392086747699
72,-7.796989890422563,1.9841434008459948,-10.940950687478354,-5.002891222799945
73,-6.756635324644816,1.3526171962817493,-8.49672600344619,-3.5846453984252546
74,-6.744868538783938,1.4325588316157698,-8.818101638323718,-4.877006844442631
75,-7.158254596567748,1.6352760829014097,-10.459302205013053,-4.325249873949731
76,-7.100364857497425,1.4782531599134465,-8.712019965812724,-4.53908369748934
77,-7.16201932619026,2.8013688407401642,-10.16594066578848,-2.36642115554359
78,-7.367004070291399,1.1134376036032285,-8.636073751748023,-5.587557029392562
79,-6.672706323408155,1.9291275527621232,-10.275546289896932,-3.5492197790553925
80,-7.141912338843066,2.6348223334713894,-10.799905438707976,-3.3212517881995316
81,-8.288562180773905,1.6962663265553595,-10.26099067954873,-5.543342559424212
82,-7.257942922363865,0.5293188579628826,-8.166451856410056,-6.333414766629541
83,-6.5156990332353555,1.299827729080473,-8.537680424729746,-4.622447275693553
84,-6.509021475888183,2.038445906367414,-11.03033999991335,-3.609265585692138
85,-7.509920252458604,2.190506764650454,-12.031943811669695,-4.436518211547288
86,-6.020592739231525,2.2118017691684018,-9.563688042134974,-2.979074249521327
87,-6.798834468561391,1.9860845928957893,-10.700338594388572,-3.6366755144622958
88,-7.155300309479922,2.140758721992397,-11.12849416610894,-5.017047071439002
89,-6.937082332031044,1.0226694580225761,-8.085791487312974,-5.786511983689928
