episode,reward,std,min,max
3,0.1867137237645435,0.0966327111843249,0.06506997006244375,0.4072179485689467
4,0.19975309064728,0.1191594031311565,0.0436536715337702,0.39969988354842356
5,0.1921374809431483,0.10293895465013933,0.05662418805048255,0.35373268524893814
6,0.2860453706127116,0.19303217872358036,0.03663716747942559,0.6681050376504264
7,0.1495600465102817,0.11327601736549726,0.032749742105274614,0.3647398805098823
8,0.16558049692390545,0.06009691807976825,0.07548244989973456,0.2621063849367555
9,0.18628833202533243,0.11182680918206647,0.019855850693206976,0.34529805582454304
10,0.18865192368502692,0.10290016873433776,0.054427142456382596,0.39969988354842356
11,0.22891150366564544,0.10482065806560181,0.10753357295485387,0.3828604572129667
12,0.3069624520956693,0.16278576265116784,0.10086212013513877,0.5880673826133764
13,0.17732838308430365,0.09296836999946093,0.09064562803732701,0.3194679912138215
14,0.2602812087556468,0.15706006927622024,0.07829998940832172,0.49596792516813853
15,0.27936771922229314,0.13049023870890716,0.041519425582285115,0.42976387589486226
16,0.2633589338447321,0.1446426269831799,0.10521254087399887,0.5069481213874009
17,0.28679093030847713,0.18238981053515493,0.08441556515305294,0.6028454783318955
18,0.20030801702376116,0.1492654641495874,0.05134081055204977,0.4245942395288307
19,0.20654946116883116,0.1314612595849795,0.0679368205508092,0.44207585008574746
20,0.21314796734807978,0.1164927249271159,0.05197369104847269,0.35754164539362066
21,0.24861298160239773,0.10617226186778961,0.08978770587012845,0.4365745558310633
22,0.24458922517353301,0.1550367364510086,0.05967260987601999,0.5038295173522107
23,0.1938116209791593,0.1239142929351476,0.06014274439423611,0.39969988354842356
24,0.23774763175860247,0.1349783196742995,0.07099499794778492,0.43043397837238684
25,0.3221807308678705,0.22411161944801872,0.08204214649887213,0.7358187132575168
26,0.2361537536620973,0.1648321900861849,0.040143075165259,0.506969210748324
27,0.285012686952116,0.20156324682567728,0.1039683426801245,0.7538221812491882
28,0.292581877170009,0.159340617613865,0.09700589296802169,0.560125870589286
29,0.14351991648811782,0.06943981184573923,0.046348783250985966,0.2485018362121316
30,0.2403221522472264,0.14105501770700965,0.08975018493410458,0.43254056918111655
31,0.24355624532000694,0.09913625542713313,0.11113487543426707,0.4219278689682405
32,0.25815561471034354,0.21448618869285874,0.07716589672554668,0.7454959941144977
33,0.2691766957057499,0.1290820268847146,0.11390678512341776,0.4458823066800155
34,0.24374558816483433,0.10482815494880132,0.10498976329115621,0.45831485798979926
35,0.26883446745531214,0.14445713873314156,0.0547096935673406,0.535219184668224
36,0.22585995685971913,0.1028841465120686,0.0803954597044265,0.43184951754429973
37,0.2494480378638792,0.21090610775764107,0.04328322554877482,0.6732924891982442
38,0.2522360149672396,0.11433124746673358,0.10550720723949497,0.4606117002722165
39,0.26284962303924075,0.13506524472864617,0.0538150663913171,0.44348564547746544
40,0.18105492941682436,0.09391061068183609,0.07730057782164497,0.3605640462389412
41,0.22519763160246603,0.16092863744566352,0.04160063009847512,0.5021568814012491
42,0.19047304887562283,0.0755990154928993,0.10854601033824023,0.36418984611549354
43,0.3014585677270032,0.17162941244004662,0.06299536304185324,0.5329236529990259
44,0.23040155732361783,0.13439237392601833,0.09969942611778718,0.49532101374286747
45,0.25692748925634773,0.16987214484943294,0.05208277141248025,0.5520195359756503
46,0.29212086114625474,0.1602991410809703,0.0793449188709515,0.5134722673742775
47,0.23129148926888116,0.15058324504856993,0.05362848851987798,0.48485344170515565
48,0.24198126956491764,0.12062597010740217,0.0724770689526827,0.45976436512968494
49,0.23978329632288659,0.1850163701693274,0.07698739105009024,0.5988228004562246
50,0.22668140325173894,0.1420209291965425,0.03390550174501591,0.448837234374456
51,0.1652713601978909,0.09965547767365172,0.05001810418788681,0.3538933958707774
52,0.29540078945305626,0.18272541593851133,0.09777451052552089,0.5649433063756374
53,0.2632806126281483,0.1596300647459942,0.03915400885000795,0.5481281407323522
54,0.25836955153581975,0.12482037944576835,0.11105539119648974,0.4811299971729289
55,0.21351452364789783,0.1498336469957225,0.053457941969144836,0.4275465028370155
56,0.20503524037363427,0.16022259924044158,0.040200504213545214,0.4790711415700578
57,0.20247657131231023,0.12563340483620955,0.046696982026247245,0.41299623529289314
58,0.22566665361184732,0.17632677088187382,0.03542161745415413,0.49313313118860846
59,0.27771911982889574,0.181152284597967,0.09118849967539619,0.6300555690682615
60,0.2576357133020356,0.10230083499228611,0.11905662974566236,0.4219278689682405
61,0.2697435205973749,0.18621610157160373,0.05172010656672072,0.5841135743598463
62,0.19070529744370088,0.12504500446666914,0.07975962501934925,0.49349812479089505
63,0.20553312944189997,0.10993064863483275,0.08841438149758592,0.4245942395288307
64,0.2896763373866171,0.12228827200598637,0.06394848729150125,0.47043898323592054
65,0.22692411635573279,0.1410700049103572,0.05111875583964961,0.4494278948542593
66,0.1452714939918134,0.09489955761046709,0.051065731306900175,0.33868471319849525
67,0.200008572954511,0.12800225514030886,0.05300597409406515,0.3842543854930195
68,0.20939571584338265,0.1449812644233694,0.07320458812402317,0.5556593796831469
69,0.24994069566558572,0.1185490279142458,0.07787461038589508,0.4219278689682405
70,0.20777125718219577,0.14835119489648113,0.0560899235388508,0.5596418673641065
71,0.22209616058901221,0.1116883909109286,0.08305147147800647,0.4072179485689467
72,0.1826624575302707,0.12169222519943702,0.04746404152466119,0.4219278689682405
73,0.24320405535859227,0.16085824992519934,0.06765545169747576,0.6033014834128497
74,0.3061631928701207,0.1715925474826038,0.09062636798648813,0.5205672391837352
75,0.2580342321200714,0.12103163049546564,0.12318931350873721,0.44934243366262605
76,0.28086545645115446,0.1856418483299139,0.04119364698367707,0.6436064832523333
77,0.1988518855749929,0.1324710166305091,0.036814133870149236,0.4337258834234033
78,0.30034237006692294,0.19553294028642168,0.04740718455563974,0.7554219567219946
