x,full_exponential,linear_20,linear_50,linear_70,full_linear
0,1.0,1.0,1.0,1.0,1.0
1,0.99904125,0.99919175,0.9994175000000001,0.999568,0.99979375
2,0.9980834192015625,0.99838423536125,0.9988354596007812,0.9991362757604687,0.9995875
3,0.997126506723403,0.9975774553787224,0.9982538783617014,0.9987048270170209,0.99938125
4,0.9961705116850819,0.9967714093480655,0.9976727558425409,0.9982736535055245,0.999175
5,0.9952154332070038,0.9959660965656031,0.9970920916035019,0.9978427549621012,0.99896875
6,0.9942612704104166,0.9951615163283333,0.9965118852052083,0.997412131123125,0.9987625
7,0.9933080224174106,0.9943576679339285,0.9959321362087052,0.9969817817252232,0.99855625
8,0.9923556883509179,0.9935545506807344,0.9953528441754589,0.9965517065052754,0.99835
9,0.9914042673347114,0.9927521638677692,0.9947740086673558,0.9961219052004134,0.99814375
10,0.9904537584934043,0.9919505067947235,0.9941956292467022,0.9956923775480213,0.9979375
11,0.9895041609524488,0.9911495787619591,0.9936177054762243,0.9952631232857345,0.99773125
12,0.9885554738381356,0.9903493790705086,0.9930402369190678,0.9948341421514406,0.997525
13,0.9876076962775933,0.9895499070220747,0.9924632231387966,0.994405433883278,0.99731875
14,0.9866608273987871,0.9887511619190297,0.9918866636993935,0.9939769982196361,0.9971125
15,0.9857148663305185,0.9879531430644148,0.9913105581652593,0.9935488348991557,0.99690625
16,0.9847698122024241,0.9871558497619393,0.9907349061012121,0.9931209436607273,0.9967
17,0.9838256641449751,0.98635928131598,0.9901597070724875,0.9926933242434925,0.99649375
18,0.982882421289476,0.9855634370315808,0.989584960644738,0.9922659763868429,0.9962875
19,0.9819400827680648,0.9847683162144518,0.9890106663840323,0.9918388998304195,0.99608125
20,0.9809986477137108,0.9839739181709687,0.9884368238568554,0.9914120943141131,0.995875
21,0.9800581152602154,0.9831802422081724,0.9878634326301077,0.9909855595780646,0.99566875
22,0.9791184845422096,0.9823872876337677,0.9872904922711048,0.990559295362663,0.9954625
23,0.9781797546951547,0.9815950537561239,0.9867180023475773,0.9901333014085463,0.99525625
24,0.9772419248553408,0.9808035398842727,0.9861459624276704,0.9897075774566022,0.99505
25,0.9763049941598857,0.9800127453279086,0.9855743720799428,0.9892821232479656,0.99484375
26,0.9753689617467348,0.9792226693973879,0.9850032308733674,0.9888569385240205,0.9946375
27,0.9744338267546602,0.9784333114037282,0.98443253837733,0.9884320230263981,0.99443125
28,0.9734995883232591,0.9776446706586074,0.9838622941616295,0.9880073764969778,0.994225
29,0.9725662455929542,0.9768567464743634,0.9832924977964771,0.9875829986778862,0.99401875
30,0.9716337977049919,0.9760695381639937,0.9827231488524959,0.9871588893114975,0.9938125
31,0.9707022438014423,0.9752830450411538,0.9821542469007212,0.9867350481404327,0.99360625
32,0.9697715830251976,0.9744972664201581,0.9815857915125987,0.9863114749075592,0.9934
33,0.9688418145199722,0.9737122016159778,0.9810177822599861,0.9858881693559916,0.99319375
34,0.9679129374303012,0.972927849944241,0.9804502187151506,0.9854651312290903,0.9929875
35,0.9669849509015399,0.9721442107212319,0.97988310045077,0.985042360270462,0.99278125
36,0.966057854079863,0.9713612832638905,0.9793164270399315,0.984619856223959,0.992575
37,0.965131646112264,0.9705790668898112,0.978750198056132,0.9841976188336792,0.99236875
38,0.9642063261465538,0.9697975609172431,0.9781844130732769,0.9837756478439661,0.9921625
39,0.9632818933313608,0.9690167646650887,0.9776190716656804,0.9833539429994083,0.99195625
40,0.9623583468161293,0.9682366774529035,0.9770541734080647,0.9829325040448389,0.99175
41,0.9614356857511194,0.9674572986008956,0.9764897178755596,0.9825113307253357,0.99154375
42,0.9605139092874054,0.9666786274299244,0.9759257046437027,0.9820904227862216,0.9913375
43,0.9595930165768761,0.965900663261501,0.9753621332884381,0.9816697799730628,0.99113125
44,0.9586730067722331,0.9651234054177866,0.9747990033861166,0.98124940203167,0.9909250000000001
45,0.9577538790269902,0.9643468532215922,0.9742363145134951,0.9808292887080972,0.99071875
46,0.9568356324954731,0.9635710059963785,0.9736740662477366,0.980409439748642,0.9905125
47,0.9559182663328181,0.9627958630662545,0.9731122581664091,0.9799898548998456,0.99030625
48,0.9550017796949715,0.9620214237559772,0.9725508898474857,0.9795705339084915,0.9901
49,0.9540861717386888,0.9612476873909511,0.9719899608693444,0.9791514765216067,0.98989375
50,0.9531714416215343,0.9604746532972275,0.9714294708107671,0.9787326824864604,0.9896875
51,0.9522575885018797,0.9597023208015037,0.9708694192509398,0.9783141515505639,0.98948125
52,0.9513446115389036,0.9589306892311229,0.9703098057694518,0.9778958834616711,0.989275
53,0.9504325098925906,0.9581597579140726,0.9697506299462954,0.9774778779677773,0.98906875
54,0.949521282723731,0.9573895261789849,0.9691918913618656,0.9770601348171193,0.9888625
55,0.9486109291939196,0.9566199933551358,0.9686335895969598,0.9766426537581758,0.98865625
56,0.947701448465555,0.9558511587724441,0.9680757242327775,0.9762254345396665,0.98845
57,0.9467928397018387,0.9550830217614711,0.9675182948509193,0.9758084769105516,0.98824375
58,0.9458851020667746,0.9543155816534198,0.9669613010333873,0.9753917806200324,0.9880375
59,0.944978234725168,0.9535488377801344,0.966404742362584,0.9749753454175505,0.98783125
60,0.9440722368426252,0.9527827894741001,0.9658486184213126,0.9745591710527876,0.987625
61,0.9431671075855523,0.9520174360684419,0.9652929287927762,0.9741432572756656,0.98741875
62,0.9422628461211547,0.9512527768969239,0.9647376730605774,0.9737276038363465,0.9872125
63,0.9413594516174361,0.9504888112939489,0.964182850808718,0.9733122104852308,0.98700625
