episode,reward,std,min,max
3,0.24968858591370108,0.15664469294362485,0.06361141444236164,0.47167163772257226
4,0.16891135452996256,0.08409478792631372,0.06686080691093066,0.3227913468490216
5,0.24764682068345745,0.2029643773064525,0.05791596244451386,0.6848136187684615
6,0.2588652544594957,0.16189658272138177,0.050943345200394716,0.4650335546646439
7,0.3087386188327971,0.17583051973303174,0.05198704177256303,0.522052757409588
8,0.26547114241176717,0.14163710251823672,0.09026393245254785,0.4515176293651493
9,0.2188367483438854,0.16309569623614992,0.06110218278130163,0.5401728920033895
10,0.299806913379595,0.1897315414293076,0.041365782185536965,0.6765163805541126
11,0.19381557942494546,0.15389492501025856,0.03063907178120112,0.42313894059750573
12,0.1872632863598898,0.1466943314428923,0.03778863623509859,0.4219278689682405
13,0.17518227157468835,0.10167120392367937,0.06210701822015798,0.4245942395288307
14,0.28749693518052827,0.15071049011781248,0.1486753250483254,0.6489722745920984
15,0.20023325803467312,0.09283427239827356,0.08347950992517517,0.39969988354842356
16,0.1883340992421542,0.12255889012409431,0.03372785514225469,0.4245942395288307
17,0.24561497217342215,0.14822146218516988,0.04863161798342221,0.5051873581306201
18,0.161337896600713,0.11968634590547782,0.04396324566112477,0.4018934027025214
19,0.2624167705589685,0.14299243172705525,0.08233972191144465,0.48378991076408234
20,0.1753456816322442,0.09941481583095571,0.05997508149408296,0.4219278689682405
21,0.2064736714993159,0.1698500937152551,0.05102146014413576,0.4856769276476843
22,0.23824284362526754,0.1483747210674222,0.04494129667123579,0.4365745558310633
23,0.21575620053207945,0.08810016387753358,0.0847139105603888,0.3774606706426383
24,0.17522452902731445,0.1316411222527801,0.04670047564807253,0.4245942395288307
25,0.2554341518246729,0.14523742427557104,0.051871789691117214,0.45191506171871626
26,0.2000067107170867,0.1220556378404126,0.03884670562194795,0.4219278689682405
27,0.24934491977384501,0.12059052152095438,0.037152128223817034,0.45954260994790747
28,0.26313264112305185,0.1737861436059064,0.06735470810713115,0.563704065497904
29,0.1910741700009218,0.15657908189216044,0.04082523007677339,0.6005424648772442
30,0.20380014680755995,0.14030618630010316,0.05213221499649816,0.44665885272250677
31,0.18780468794128077,0.12422479175670151,0.08332112556698577,0.40334690027230624
32,0.17623268724208394,0.10030220168724122,0.02883287731664758,0.35754164539362066
33,0.22619671034727923,0.1620737025057966,0.03996470043138771,0.5437421993567998
34,0.19314568971912238,0.13642022773054252,0.029312016903371842,0.4661370374226301
35,0.30855886721796005,0.13126079110207975,0.12054385338550348,0.5334096691001518
36,0.20250823719822225,0.08914805888127447,0.06272742229017732,0.3370103552736389
37,0.2299724000063282,0.12810314382114946,0.12058373507782914,0.4416438193166576
38,0.1777079796840862,0.14217291623508999,0.051324648653117366,0.48634756469418183
39,0.22662903379847807,0.11563151781108538,0.06953760634754616,0.4368774402358263
40,0.3868569894436427,0.16172811466465906,0.14336712073760605,0.6239539091515443
41,0.1687712277171442,0.10153478625018232,0.0863297551504154,0.4219278689682405
42,0.16803493063150343,0.08549580024075325,0.05782217983838927,0.2934653127216289
43,0.19360224261281586,0.12104943069642896,0.04016226837652606,0.39969988354842356
44,0.2609865913237495,0.18951197612631687,0.04740582139198182,0.6337787920317435
45,0.3006409945353047,0.17956980373746967,0.08666552275970645,0.5839704376790485
46,0.18654294671491808,0.06611490184800613,0.049612964737429044,0.27046147225991807
47,0.28114105779396115,0.17724097845656211,0.11215169446837929,0.6155806377870265
48,0.26804013914133745,0.20395981133482724,0.06782311189139953,0.7132959497599675
49,0.2701931639148137,0.12278530027655236,0.04909322714274636,0.4219278689682405
50,0.19494031314831667,0.07356350803454167,0.10434993638248612,0.3686263467927732
51,0.34278064454106616,0.2530495355511482,0.054417872630665644,0.7700648444514818
52,0.2785519411665559,0.1925906022084779,0.06512802007339281,0.73072318250831
53,0.23971229488704493,0.13191601712470308,0.0811898322132861,0.5002289035638703
54,0.20537599340594906,0.13033195035288772,0.06104895971804848,0.44749030562993714
55,0.2725920835897866,0.15584441214216752,0.07273804533850152,0.4971821173292565
56,0.22521517356350657,0.15880579753164206,0.031026152821124683,0.4337258834234033
57,0.15405049389484998,0.07549215076233115,0.062033245063357154,0.3353172682445826
58,0.18262238276849332,0.09585978422313311,0.0393006543554965,0.34605857663766504
59,0.3091336309405651,0.21883021103436728,0.042757000714792374,0.6169789607906799
60,0.2836081655787993,0.18969844917144682,0.07009974230981696,0.5936570803403125
61,0.2746407503929392,0.1200319890736857,0.03468559299419153,0.39969988354842356
62,0.14058771925313585,0.040010456294043505,0.09320911909264769,0.24056385427419116
63,0.21845942102704216,0.14387089112269522,0.03413578576931755,0.4722949927480259
